,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
707,BPCL.NS,Long Closed,2005-02-24,35.15,2005-03-04,34.15,1422.0,49983.302,-1422.0,-2.845,Exit Trigger,8 days
708,BPCL.NS,Long Closed,2005-05-25,32.92,2005-06-30,30.48,1518.0,49967.496,-3703.92,-7.413,Exit Trigger,36 days
709,BPCL.NS,Long Closed,2005-07-29,30.41,2005-08-29,30.84,1644.0,49991.299,706.92,1.414,Exit Trigger,31 days
710,BPCL.NS,Long Closed,2005-10-11,34.42,2006-03-10,35.12,1452.0,49972.996,1016.4,2.034,Exit Trigger,150 days
711,BPCL.NS,Long Closed,2006-04-18,37.92,2006-05-30,34.17,1318.0,49974.163,-4942.5,-9.89,Exit Trigger,42 days
712,BPCL.NS,Long Closed,2006-08-29,30.05,2006-11-23,31.16,1664.0,49996.267,1847.04,3.694,Exit Trigger,86 days
713,BPCL.NS,Long Closed,2007-01-24,29.67,2007-02-28,25.08,1685.0,49988.332,-7734.15,-15.472,Exit Trigger,35 days
714,BPCL.NS,Long Closed,2007-04-25,26.92,2007-06-22,30.83,1857.0,49984.249,7260.87,14.526,Exit Trigger,58 days
715,BPCL.NS,Long Closed,2007-09-26,29.06,2008-02-01,30.83,1720.0,49980.332,3044.4,6.091,Exit Trigger,128 days
716,BPCL.NS,Long Closed,2008-03-10,36.0,2008-04-03,34.67,1388.0,49968.0,-1846.04,-3.694,Exit Trigger,24 days
717,BPCL.NS,Long Closed,2008-08-04,27.75,2008-11-06,26.16,1801.0,49977.75,-2863.59,-5.73,Exit Trigger,94 days
718,BPCL.NS,Long Closed,2008-12-11,27.67,2009-03-19,28.25,1807.0,49993.666,1048.06,2.096,Exit Trigger,98 days
719,BPCL.NS,Long Closed,2009-04-30,32.17,2009-10-30,41.67,1554.0,49986.996,14763.0,29.534,Exit Trigger,183 days
720,BPCL.NS,Long Closed,2009-12-04,50.41,2010-02-03,47.51,991.0,49958.786,-2873.9,-5.753,Exit Trigger,61 days
721,BPCL.NS,Long Closed,2010-05-18,45.47,2010-10-22,60.1,1099.0,49972.445,16078.37,32.174,Exit Trigger,157 days
722,BPCL.NS,Long Closed,2011-04-08,50.71,2011-06-13,50.92,986.0,49998.415,207.06,0.414,Exit Trigger,66 days
723,BPCL.NS,Long Closed,2011-07-08,54.89,2011-09-20,55.42,910.0,49947.626,482.3,0.966,Exit Trigger,74 days
724,BPCL.NS,Long Closed,2012-02-01,47.5,2012-08-09,58.93,1052.0,49970.0,12024.36,24.063,Exit Trigger,190 days
725,BPCL.NS,Long Closed,2012-10-11,58.5,2012-11-06,56.66,854.0,49959.0,-1571.36,-3.145,Exit Trigger,26 days
